Disease	lung cancer	Rank_lung cancer
NA18867	2.7652	0.4485
NA18868	2.937	0.5056
NA18870	4.5878	0.8407
NA18871	2.8901	0.4916
NA18873	1.6196	0.0847
NA18874	5.1402	0.8954
NA18876	4.4393	0.8195
NA18877	3.1576	0.5763
NA18878	3.2123	0.5958
NA18879	4.0698	0.7624
NA18881	4.2055	0.7871
NA18907	1.9171	0.1621
NA18908	3.7814	0.7133
NA18909	4.6548	0.847
NA18910	3.0873	0.5543
NA18912	7.7137	0.9888
NA18915	2.7099	0.4285
NA18916	2.7932	0.4609
NA18917	1.9171	0.1621
NA18923	2.8278	0.4748
NA18924	2.1933	0.246
NA18933	4.0157	0.7516
NA18934	3.0876	0.5547
NA18939	1.7088	0.1054
NA18940	3.3185	0.6262
NA18941	2.1767	0.2376
NA18942	2.5873	0.3822
NA18943	2.9982	0.5248
NA18944	4.2883	0.7979
NA18945	4.1754	0.7831
NA18946	1.7538	0.121
NA18947	2.8363	0.4776
NA18948	1.7896	0.1274
NA18949	2.7838	0.4553
NA18950	4.8925	0.8714
NA18951	4.8501	0.8666
NA18952	3.895	0.7352
NA18953	2.7409	0.4389
NA18954	2.6337	0.4014
NA18956	6.5522	0.9692
NA18957	4.1712	0.7812
NA18959	1.5826	0.0715
NA18960	2.2887	0.2776
NA18961	1.8357	0.1354
NA18962	2.6709	0.4129
NA18963	1.3642	0.0403
NA18964	2.7292	0.4349
NA18965	2.3646	0.3023
NA18966	2.3965	0.3127
NA18967	3.1006	0.5599
NA18968	2.8238	0.4732
NA18969	1.3602	0.0387
NA18970	4.2376	0.7911
NA18971	2.9823	0.52
NA18972	2.1426	0.2252
NA18973	1.4212	0.0443
NA18974	1.3054	0.0296
NA18975	1.6302	0.0883
NA18976	2.6067	0.3902
NA18977	2.4015	0.3147
NA18978	2.0338	0.1957
NA18979	1.2169	0.0168
NA18980	3.2567	0.6114
NA18981	1.605	0.0807
NA18982	1.7005	0.1006
NA18983	3.5357	0.6645
NA18984	1.4914	0.0575
NA18985	2.1874	0.244
NA18986	4.3258	0.8063
NA18987	3.5851	0.6737
NA18988	2.4037	0.3159
NA18989	2.1531	0.23
NA18990	1.8589	0.145
NA18991	2.7129	0.4293
NA18992	1.4454	0.0471
NA18993	1.9768	0.1729
NA18994	2.4667	0.3379
NA18995	2.018	0.1909
NA18997	1.5914	0.0735
NA18998	2.1048	0.2137
NA18999	1.3402	0.0347
NA19000	2.3476	0.2971
NA19001	3.5912	0.6757
NA19002	3.4761	0.6506
NA19003	3.0913	0.5559
NA19004	4.1704	0.7808
NA19005	2.4169	0.3203
NA19006	2.8056	0.4645
NA19007	3.7487	0.7049
NA19009	2.5927	0.3858
NA19010	2.6942	0.4205
NA19011	1.7051	0.1046
NA19012	2.6356	0.4022
NA19017	2.8222	0.472
NA19019	2.9148	0.5
NA19020	7.6362	0.9868
NA19023	4.6983	0.853
NA19024	5.4032	0.9145
NA19025	2.4121	0.3183
NA19026	3.2521	0.609
NA19027	3.7289	0.7009
NA19028	1.6756	0.0946
NA19030	3.6855	0.6945
NA19031	1.638	0.0891
NA19035	2.8377	0.478
NA19036	6.1135	0.9577
NA19037	3.2123	0.5958
NA19038	1.9873	0.1749
NA19041	3.6704	0.6905
NA19042	5.0927	0.8922
NA19043	2.0974	0.2117
NA19054	2.1767	0.2376
NA19055	1.5092	0.0591
NA19056	1.6954	0.099
NA19057	1.7005	0.1006
NA19058	2.6277	0.399
NA19059	2.0178	0.1905
NA19060	4.5818	0.8391
NA19062	2.2457	0.2672
NA19063	2.183	0.2432
NA19064	5.5611	0.9277
NA19065	2.7194	0.4309
NA19066	1.7129	0.1074
NA19067	2.3905	0.3123
NA19068	3.2779	0.6162
NA19070	1.6177	0.0843
NA19072	1.2738	0.0264
NA19074	4.4518	0.8203
NA19075	1.464	0.0519
NA19076	1.5914	0.0735
NA19077	2.2938	0.2788
NA19078	2.1426	0.2252
NA19079	2.8434	0.4788
NA19080	2.8971	0.4952
NA19081	3.7565	0.7053
NA19082	1.8473	0.1414
NA19083	1.6861	0.097
NA19084	2.5406	0.3634
NA19085	3.7248	0.7005
NA19086	1.9941	0.1793
NA19087	2.4978	0.345
NA19088	4.9431	0.8766
NA19089	2.7045	0.4245
NA19090	2.673	0.4137
NA19091	2.7194	0.4309
NA19092	5.865	0.9437
NA19093	4.2017	0.7855
NA19095	3.9841	0.7488
NA19096	2.4044	0.3167
NA19098	9.5324	0.9972
NA19099	4.776	0.8606
NA19102	5.0526	0.8866
NA19107	3.9578	0.7444
NA19108	5.6322	0.9321
NA19113	7.0406	0.978
NA19114	3.9892	0.7492
NA19116	3.4322	0.641
NA19117	1.8993	0.1581
NA19118	4.3249	0.8039
NA19119	3.162	0.5771
NA19121	5.2294	0.9034
NA19129	4.5326	0.8319
NA19130	4.6665	0.849
NA19131	1.8993	0.1581
NA19137	2.9409	0.5076
NA19138	5.9572	0.9497
NA19141	1.701	0.103
NA19143	4.5408	0.8331
NA19144	3.6324	0.6833
NA19146	3.5473	0.6673
NA19147	3.7289	0.7009
NA19149	2.0645	0.2045
NA19152	5.1054	0.8942
NA19153	3.1475	0.5723
NA19159	6.589	0.9704
NA19160	3.2265	0.6018
NA19171	2.3979	0.3135
NA19172	3.1412	0.5699
NA19175	3.6463	0.6865
NA19184	2.8956	0.494
NA19185	4.9734	0.879
NA19189	2.9612	0.5128
NA19190	2.8769	0.4884
NA19197	5.0602	0.8882
NA19198	4.4	0.8139
NA19200	3.5841	0.6721
NA19201	2.6693	0.4121
NA19204	2.6099	0.3922
NA19206	2.1773	0.24
NA19207	5.6226	0.9313
NA19209	2.6467	0.4058
NA19210	3.1871	0.5859
NA19213	5.5784	0.9293
NA19214	5.0998	0.893
NA19222	7.7578	0.9896
NA19223	1.5952	0.0783
NA19225	2.7314	0.4361
NA19235	13.6018	1
NA19236	3.2123	0.5958
NA19238	2.724	0.4337
NA19239	2.531	0.3614
NA19247	2.7464	0.4421
NA19248	3.2123	0.5958
NA19256	2.2008	0.2504
NA19257	3.1431	0.5711
NA19307	3.1124	0.5623
NA19308	12.0975	0.9988
NA19309	4.6548	0.847
NA19310	7.506	0.9832
NA19312	5.8808	0.9457
NA19314	3.9472	0.742
NA19315	2.9107	0.4984
NA19316	4.2913	0.7991
NA19317	2.3874	0.3119
NA19318	5.0526	0.8866
NA19319	3.4271	0.6394
NA19320	6.8101	0.9744
NA19321	4.5768	0.8387
NA19323	2.4434	0.3315
NA19324	4.0698	0.7624
NA19327	5.7806	0.9397
NA19328	4.2017	0.7855
NA19331	5.6181	0.9309
NA19332	3.1794	0.5827
NA19334	3.9745	0.7468
NA19338	3.2521	0.609
NA19346	1.2486	0.0216
NA19347	4.2211	0.7887
NA19350	2.2267	0.2588
NA19351	3.3039	0.6234
NA19355	9.6119	0.9976
NA19360	3.6664	0.6901
NA19372	4.3934	0.8119
NA19374	5.433	0.9161
NA19375	4.0475	0.7572
NA19376	4.2781	0.7967
NA19377	2.4925	0.3438
NA19378	4.5145	0.8283
NA19379	3.6995	0.6973
NA19380	3.4322	0.641
NA19383	3.1871	0.5859
NA19384	5.9441	0.9493
NA19385	2.6274	0.3978
NA19390	3.162	0.5771
NA19391	2.1449	0.2264
NA19393	4.2883	0.7979
NA19394	3.9472	0.742
NA19395	3.4869	0.6526
NA19397	2.1402	0.2244
NA19399	2.6877	0.4193
NA19401	5.1841	0.9002
NA19403	3.9785	0.7472
NA19404	2.4177	0.3211
NA19428	3.9785	0.7472
NA19429	2.3566	0.2991
NA19430	3.2046	0.5931
NA19431	7.1535	0.98
NA19434	3.92	0.7388
NA19435	3.9531	0.7436
NA19436	3.6855	0.6945
NA19437	3.8229	0.722
NA19438	5.1686	0.8978
NA19439	4.2781	0.7967
NA19440	2.913	0.4988
NA19443	6.2689	0.9629
NA19445	2.4346	0.3255
NA19446	5.0597	0.8878
NA19448	12.2877	0.9992
NA19449	2.0311	0.1953
NA19451	5.1763	0.8986
NA19452	5.5185	0.9249
NA19454	3.0081	0.5272
NA19455	2.9612	0.5128
NA19456	4.6307	0.845
NA19457	4.8443	0.865
NA19461	6.3662	0.9665
NA19462	3.4594	0.6482
NA19463	7.8727	0.9912
NA19466	3.9267	0.7396
NA19467	2.128	0.2196
NA19468	6.0044	0.9533
NA19471	2.8711	0.4852
NA19472	5.765	0.9393
NA19473	5.1402	0.8954
NA19474	4.1934	0.7843
NA19475	6.3338	0.9653
NA19625	2.2423	0.2644
NA19648	2.816	0.47
NA19649	3.4639	0.6486
NA19651	4.3614	0.8095
NA19652	1.9759	0.1717
NA19654	2.5708	0.3766
NA19655	1.357	0.0383
NA19657	3.5909	0.6753
NA19658	2.7879	0.4593
NA19661	4.8129	0.8622
NA19663	1.4313	0.0447
NA19664	4.6283	0.8446
NA19669	2.6216	0.3962
NA19670	2.0338	0.1957
NA19676	2.3662	0.3043
NA19678	4.198	0.7851
NA19679	2.4295	0.3239
NA19681	1.5126	0.0603
NA19682	2.8425	0.4784
NA19684	3.2871	0.6198
NA19700	2.708	0.4269
NA19701	5.4423	0.9165
NA19703	3.5121	0.6585
NA19704	4.0821	0.766
NA19707	2.0164	0.1889
NA19711	3.3612	0.6314
NA19712	2.8247	0.474
NA19713	3.8869	0.734
NA19716	1.327	0.0315
NA19717	4.9808	0.8798
NA19719	4.8725	0.8686
NA19720	1.5095	0.0595
NA19722	1.544	0.0639
NA19723	4.3785	0.8115
NA19725	2.3608	0.3007
NA19726	1.5962	0.0787
NA19728	3.7017	0.6977
NA19729	4.1367	0.7736
NA19731	1.7088	0.1054
NA19732	2.8078	0.4661
NA19734	4.1691	0.7804
NA19735	2.7363	0.4377
NA19740	2.3793	0.3071
NA19741	3.3079	0.6238
NA19746	3.0691	0.5471
NA19747	2.093	0.2101
NA19749	2.6088	0.3918
NA19750	2.4281	0.3231
NA19752	2.4549	0.3327
NA19755	2.2915	0.278
NA19756	5.3768	0.9129
NA19758	6.6919	0.9732
NA19759	3.4778	0.651
NA19761	3.2851	0.6182
NA19762	3.1966	0.5895
NA19764	2.2333	0.2628
NA19770	2.7857	0.4569
NA19771	2.9725	0.5148
NA19773	2.6623	0.4093
NA19774	5.4663	0.9193
NA19776	2.6918	0.4201
NA19777	4.2237	0.7891
NA19779	1.7286	0.115
NA19780	1.1671	0.012
NA19782	3.5138	0.6593
NA19783	2.0131	0.1881
NA19785	1.5743	0.0691
NA19786	4.091	0.7668
NA19788	6.5929	0.9708
NA19789	1.4786	0.0535
NA19792	3.0353	0.5363
NA19794	3.8428	0.7272
NA19795	2.7404	0.4385
NA19818	2.2443	0.2668
NA19819	3.031	0.5347
NA19834	5.1402	0.8954
NA19835	2.079	0.2089
NA19900	3.7761	0.7105
NA19901	2.511	0.3526
NA19904	6.0472	0.9553
NA19908	3.4542	0.645
NA19909	2.3104	0.2843
NA19913	3.4917	0.6542
NA19914	5.0128	0.8822
NA19916	4.01	0.7512
NA19917	1.9562	0.1673
NA19920	2.5607	0.3718
NA19921	4.3453	0.8087
NA19922	3.0551	0.5443
NA19923	1.7591	0.1222
NA19982	1.5104	0.0599
NA19984	4.961	0.8778
NA20126	3.113	0.5631
NA20127	2.913	0.4988
NA20274	2.2109	0.2524
NA20276	4.0309	0.7552
NA20278	2.6861	0.4189
NA20281	2.8728	0.4864
NA20282	4.8788	0.8706
NA20287	7.5822	0.9852
NA20289	2.9453	0.5084
NA20291	3.4487	0.6442
NA20294	3.8198	0.7212
NA20296	7.5716	0.9844
NA20298	2.1946	0.2464
NA20299	2.3427	0.2951
NA20314	2.5282	0.359
NA20317	4.5503	0.8339
NA20318	2.4003	0.3143
NA20320	3.6176	0.6809
NA20321	2.2796	0.2744
NA20332	7.4254	0.9816
NA20334	3.0667	0.5467
NA20339	5.4461	0.9173
NA20340	1.2742	0.0272
NA20342	3.3464	0.6294
NA20346	7.686	0.988
NA20348	3.6111	0.6797
NA20351	3.2681	0.6142
NA20355	1.841	0.1378
NA20356	3.0919	0.5563
NA20357	2.8278	0.4748
NA20359	4.5617	0.8367
NA20362	4.4839	0.8247
NA20412	2.1611	0.234
NA20502	3.8768	0.7336
NA20503	2.2298	0.2604
NA20504	3.3288	0.6278
NA20505	1.4425	0.0459
NA20506	2.634	0.4018
NA20507	1.8302	0.1342
NA20508	1.7139	0.1082
NA20509	6.915	0.9764
NA20510	2.7448	0.4405
NA20511	4.8618	0.8674
NA20512	4.7631	0.8574
NA20513	2.0997	0.2129
NA20514	1.4479	0.0483
NA20515	2.766	0.4489
NA20516	3.1121	0.5619
NA20517	2.501	0.3462
NA20518	2.1496	0.2296
NA20519	2.0643	0.2041
NA20520	4.0491	0.7596
NA20521	2.4308	0.3243
NA20522	2.1596	0.2328
NA20524	2.814	0.4692
NA20525	2.2109	0.2524
NA20527	1.8589	0.145
NA20528	2.113	0.2177
NA20529	3.1569	0.5755
NA20530	1.7327	0.1182
NA20531	3.0762	0.5503
NA20532	1.7586	0.1214
NA20533	2.6293	0.4002
NA20534	4.475	0.8243
NA20535	4.3202	0.8019
NA20536	2.7941	0.4617
NA20538	2.366	0.3031
NA20539	3.5794	0.6713
NA20540	3.0978	0.5591
NA20541	5.2007	0.9014
NA20542	5.6604	0.9341
NA20543	2.8861	0.4904
NA20544	2.4415	0.3307
NA20581	5.3185	0.9101
NA20582	1.2452	0.02
NA20585	1.7586	0.1214
NA20586	6.1454	0.9589
NA20587	3.8405	0.726
NA20588	1.7155	0.1114
NA20589	1.8619	0.1462
NA20752	3.2288	0.6042
NA20753	2.4478	0.3319
NA20754	2.8497	0.4796
NA20755	1.6552	0.0911
NA20756	4.2738	0.7959
NA20757	7.5867	0.986
NA20758	2.4354	0.3275
NA20759	3.7401	0.7033
NA20760	3.1541	0.5739
NA20761	1.9757	0.1709
NA20762	3.2385	0.6058
NA20763	5.0627	0.8894
NA20764	5.2326	0.9042
NA20765	3.6925	0.6957
NA20766	3.7981	0.7161
NA20767	2.149	0.228
NA20768	3.2871	0.6198
NA20769	4.2738	0.7959
NA20770	2.6232	0.397
NA20771	3.5078	0.6565
NA20772	2.5811	0.3794
NA20773	2.5503	0.3686
NA20774	2.3833	0.3103
NA20775	1.7139	0.1082
NA20778	2.2735	0.272
NA20783	5.3849	0.9137
NA20785	2.8497	0.4796
NA20786	1.6623	0.0923
NA20787	4.438	0.8191
NA20790	5.648	0.9333
NA20792	1.9664	0.1685
NA20795	3.2589	0.6118
NA20796	2.043	0.2001
NA20797	1.8033	0.1306
NA20798	3.156	0.5751
NA20799	2.681	0.4149
NA20800	1.7447	0.1194
NA20801	1.445	0.0467
NA20802	3.5268	0.6617
NA20803	4.3241	0.8035
NA20804	2.5267	0.3562
NA20805	1.3496	0.0367
NA20806	4.0686	0.7616
NA20807	1.7155	0.1114
NA20808	2.3129	0.2851
NA20809	7.4469	0.982
NA20810	1.5925	0.0751
NA20811	3.4477	0.6438
NA20812	2.3613	0.3015
NA20813	2.0176	0.1901
NA20814	1.7286	0.115
NA20815	3.2011	0.5903
NA20818	3.8156	0.7208
NA20819	4.9471	0.877
NA20821	5.0516	0.8858
NA20822	1.229	0.0176
NA20826	3.2362	0.605
NA20827	4.8725	0.8686
NA20828	8.9254	0.996
NA20832	2.5267	0.3562
NA20845	3.6532	0.6885
NA20846	2.9958	0.5236
NA20847	5.5085	0.9245
NA20849	4.4616	0.8223
NA20850	1.6898	0.0978
NA20851	1.1224	0.0088
NA20852	1.3197	0.0304
NA20853	3.6107	0.6793
NA20854	3.0716	0.5479
NA20856	4.2909	0.7987
NA20858	2.7516	0.4441
NA20859	3.2185	0.6006
NA20861	1.4569	0.0507
NA20862	1.8502	0.1422
NA20863	1.6613	0.0919
NA20864	3.3032	0.623
NA20866	1.8362	0.1366
NA20867	3.7017	0.6977
NA20868	3.2593	0.6122
NA20869	3.9138	0.738
NA20870	2.4586	0.3343
NA20872	2.8078	0.4661
NA20874	3.491	0.6538
NA20875	4.3111	0.8007
NA20876	3.8103	0.72
NA20877	1.7018	0.1034
NA20878	3.5029	0.6554
NA20881	2.9749	0.5176
NA20882	3.7132	0.6997
NA20884	2.1111	0.2149
NA20885	5.9835	0.9525
NA20886	3.8733	0.7324
NA20887	2.9722	0.5144
NA20888	2.7039	0.4241
NA20889	2.4727	0.3395
NA20890	4.2606	0.7935
NA20891	1.5689	0.0683
NA20892	2.0093	0.1853
NA20894	1.6265	0.0879
NA20895	2.7779	0.4525
NA20896	3.7656	0.7085
NA20897	6.9379	0.9772
NA20899	2.0119	0.1873
NA20900	2.4603	0.3355
NA20901	2.6942	0.4205
NA20902	2.4586	0.3343
NA20903	5.2164	0.9022
NA20904	2.5267	0.3562
NA20905	3.6473	0.6869
NA20906	3.2677	0.6138
NA20908	2.0021	0.1817
NA20910	4.9664	0.8782
NA20911	1.866	0.1494
NA21086	2.8522	0.4824
NA21087	3.6386	0.6849
NA21088	2.5216	0.3542
NA21089	9.1294	0.9968
NA21090	1.8752	0.1526
NA21091	1.9332	0.1649
NA21092	3.0523	0.5419
NA21093	3.5106	0.6577
NA21094	3.2887	0.6218
NA21095	2.918	0.5012
NA21097	1.2851	0.0288
NA21098	2.6607	0.4089
NA21099	3.0978	0.5591
NA21100	2.256	0.2688
NA21101	4.5567	0.8351
NA21102	2.5171	0.3538
NA21103	3.1677	0.5811
NA21104	7.7555	0.9892
NA21105	1.151	0.0104
NA21106	2.3298	0.2919
NA21107	4.1712	0.7812
NA21108	2.286	0.2764
NA21109	1.8214	0.1322
NA21110	2.3684	0.3055
NA21111	3.5484	0.6681
NA21112	2.3662	0.3043
NA21113	2.7999	0.4637
NA21114	4.838	0.8642
NA21115	2.2956	0.2796
NA21116	3.9413	0.7416
NA21117	2.0025	0.1821
NA21118	4.7384	0.8558
NA21119	3.8095	0.7192
NA21120	4.6903	0.851
NA21122	3.8706	0.732
NA21123	1.6098	0.0827
NA21124	2.3406	0.2943
NA21125	3.9817	0.7484
NA21126	3.0768	0.5511
NA21127	4.4902	0.8255
NA21128	3.5191	0.6601
NA21129	4.5177	0.8291
NA21130	3.2362	0.605
NA21133	5.7811	0.9401
NA21135	2.8162	0.4708
NA21137	2.4667	0.3379
NA21141	1.6903	0.0982
NA21142	2.8078	0.4661
NA21143	5.253	0.9058
NA21144	4.5883	0.8411
