Disease	lung cancer	Rank_lung cancer
HG01357	2.6419	0.4038
HG01359	5.3016	0.9089
HG01360	2.2144	0.2556
HG01362	1.5031	0.0583
HG01363	2.5896	0.3846
HG01365	1.4903	0.0571
HG01366	2.503	0.347
HG01369	4.0157	0.7516
HG01372	2.1561	0.2312
HG01374	2.5033	0.3474
HG01375	4.0431	0.756
HG01377	2.8809	0.4896
HG01378	4.5928	0.8427
HG01383	3.5626	0.6697
HG01384	5.9204	0.9485
HG01389	2.7172	0.4305
HG01390	2.6031	0.389
HG01392	5.8095	0.9417
HG01393	4.5105	0.8275
HG01395	3.568	0.6701
HG01396	4.2542	0.7915
HG01398	1.3386	0.0339
HG01402	4.1454	0.7752
HG01403	2.7316	0.4369
HG01405	4.261	0.7939
HG01412	4.2338	0.7903
HG01413	3.5963	0.6773
HG01414	6.3256	0.9645
HG01431	1.6213	0.0859
HG01432	1.73	0.1162
HG01435	1.5925	0.0751
HG01437	3.0762	0.5503
HG01438	4.0951	0.7684
HG01440	2.5267	0.3562
HG01441	2.9743	0.516
HG01443	2.6316	0.4006
HG01444	2.7382	0.4381
HG01447	3.8428	0.7272
HG01455	2.2124	0.2548
HG01456	1.8984	0.1577
HG01459	3.091	0.5551
HG01461	2.3257	0.2895
HG01462	3.0719	0.5487
HG01464	3.1651	0.5803
HG01465	2.1953	0.2468
HG01468	2.7838	0.4553
HG01474	7.1556	0.9804
HG01479	3.8344	0.7236
HG01485	4.4136	0.8159
HG01486	3.7483	0.7045
HG01488	1.7139	0.1082
HG01489	4.919	0.8746
HG01491	5.9281	0.9489
HG01492	0.9432	0.0032
HG01494	2.197	0.2472
HG01495	3.6194	0.6821
HG01497	2.0238	0.1949
HG01498	4.1745	0.7819
HG01500	1.8897	0.1546
HG01501	3.7844	0.7141
HG01503	2.9247	0.5024
HG01504	2.366	0.3031
HG01506	3.8099	0.7196
HG01507	4.7707	0.859
HG01509	1.8548	0.1446
HG01510	1.8458	0.1394
HG01512	2.2316	0.2616
HG01513	1.334	0.0331
HG01515	3.0216	0.5308
HG01516	3.4319	0.6406
HG01518	2.0368	0.1969
HG01519	2.409	0.3171
HG01521	3.0072	0.526
HG01522	1.3806	0.0419
HG01524	2.0701	0.2069
HG01525	2.2439	0.2656
HG01527	1.9879	0.1753
HG01528	2.1111	0.2149
HG01530	2.8098	0.4681
HG01531	2.7857	0.4569
HG01536	1.4134	0.0435
HG01537	2.9913	0.5228
HG01550	5.4276	0.9157
HG01551	3.1867	0.5855
HG01556	3.0861	0.5535
HG01565	2.3554	0.2987
HG01566	1.5882	0.0723
HG01571	6.2915	0.9633
HG01572	2.7004	0.4221
HG01577	6.7396	0.974
HG01578	2.2175	0.2584
HG01583	2.1181	0.2192
HG01586	3.1861	0.5851
HG01589	2.5216	0.3542
HG01593	1.6705	0.0935
HG01595	1.102	0.0072
HG01596	4.2712	0.7951
HG01597	1.7711	0.125
HG01598	3.2246	0.6014
HG01599	2.8502	0.4812
HG01600	4.2351	0.7907
HG01602	3.2037	0.5915
HG01603	2.7994	0.4633
HG01605	1.7896	0.1274
HG01606	4.9155	0.8742
HG01607	2.2333	0.2628
HG01608	2.0224	0.1929
HG01610	2.9767	0.5184
HG01612	3.3135	0.6254
HG01613	4.5919	0.8423
HG01615	2.4761	0.3415
HG01617	2.698	0.4217
HG01618	2.8098	0.4681
HG01619	7.8601	0.9908
HG01620	2.5567	0.371
HG01623	7.5701	0.984
HG01624	2.5269	0.3586
HG01625	3.2848	0.6174
HG01626	2.7838	0.4553
HG01628	3.2897	0.6222
HG01630	1.579	0.0707
HG01631	4.4709	0.8239
HG01632	1.6201	0.0851
HG01668	2.2425	0.2648
HG01669	2.9588	0.512
HG01670	5.2598	0.9065
HG01672	1.1181	0.008
HG01673	5.3522	0.9121
HG01675	3.1293	0.5675
HG01676	2.3476	0.2971
HG01678	6.1441	0.9585
HG01679	2.9559	0.5104
HG01680	3.5099	0.6569
HG01682	2.1767	0.2376
HG01684	2.5587	0.3714
HG01685	1.6201	0.0851
HG01686	4.5818	0.8391
HG01694	2.6211	0.395
HG01695	3.2851	0.6182
HG01697	2.7275	0.4345
HG01699	4.1745	0.7819
HG01700	2.9725	0.5148
HG01702	4.5736	0.8383
HG01704	1.9047	0.1597
HG01705	2.2316	0.2616
HG01707	4.1107	0.7704
HG01708	3.8671	0.7308
HG01709	2.902	0.496
